axis,metric,episode_id,seed,step_0,step_1,step_2,step_3,step_4,step_5,final_cart_err,success_5cm,success_10cm,latent_dist_0,latent_dist_1,latent_dist_2,latent_dist_3,latent_dist_4,latent_dist_5
y,norm_l1,4,46.0,0.20431216009748618,0.18738136354630677,0.10775162463394569,0.10912377445909154,0.09928519899891615,0.08985037007078123,0.08985037007078123,False,True,4.164314270019531,4.504174709320068,4.146939754486084,4.2486958503723145,4.194282531738281,4.112370014190674
y,norm_l1,5,47.0,0.20431216009748618,0.18746454745718955,0.15810956217682332,0.10647620748460876,0.09290489699565455,0.09360251387996057,0.09360251387996057,False,True,4.167347431182861,4.5477142333984375,4.533998966217041,4.2211594581604,4.174313068389893,4.1037397384643555
y,norm_l1,6,48.0,0.20431216009748618,0.18757013952718404,0.11047059362876623,0.10862019298045317,0.09918360216623759,0.08979439907497609,0.08979439907497609,False,True,4.1646223068237305,4.489184379577637,4.19619083404541,4.2454938888549805,4.159753322601318,4.108065605163574
y,norm_l1,7,49.0,0.20431216009748618,0.18791483466511336,0.15936417091215446,0.10844031132160598,0.09586908659748561,0.09472733096969922,0.09472733096969922,False,True,4.1654372215271,4.527468681335449,4.512441158294678,4.28585147857666,4.123777866363525,4.148955821990967
y,norm_l1,8,50.0,0.20431216009748618,0.18791867341645296,0.1585569836255667,0.11445131224299077,0.102921831764993,0.09155690560108108,0.09155690560108108,False,True,4.16540002822876,4.540033340454102,4.531574249267578,4.291009426116943,4.1903228759765625,4.024285793304443
y,norm_l1,9,51.0,0.20431216009748618,0.18734742651614955,0.10900052846647207,0.11103179854855211,0.10271295489352614,0.08895992363382157,0.08895992363382157,False,True,4.165987491607666,4.4939751625061035,4.159950256347656,4.263454914093018,4.233036518096924,4.145961761474609
z,norm_l1,0,42.0,0.22899341523494027,0.19981847721412627,0.1631602749557104,0.13557661436523757,0.08827027660765778,0.10255010492523652,0.10255010492523652,False,False,3.8535635471343994,3.5639495849609375,3.1884708404541016,3.2439982891082764,2.9536666870117188,2.965463638305664
z,norm_l1,1,43.0,0.22899341523494027,0.1998693155006754,0.16297939203920755,0.12303118037343123,0.09946810492516209,0.10325319532127698,0.10325319532127698,False,False,3.8501029014587402,3.5515851974487305,3.2388365268707275,3.3054020404815674,3.042936325073242,2.8686370849609375
z,norm_l1,2,44.0,0.22899341523494027,0.20025285205882265,0.16147747757052508,0.12312457544109001,0.12341162168831611,0.12020967983722651,0.12020967983722651,False,False,3.8524715900421143,3.58410906791687,3.2593982219696045,3.2075347900390625,3.3398890495300293,2.9463653564453125
z,norm_l1,3,45.0,0.22899341523494027,0.19966373833302095,0.1649176555018761,0.1325156823657103,0.10225594009235243,0.11077712714814236,0.11077712714814236,False,False,3.853288173675537,3.555058002471924,3.2224109172821045,3.250981092453003,3.083697557449341,2.8837757110595703
z,norm_l1,4,46.0,0.22899341523494027,0.20011543321763112,0.16291701908684186,0.12640143481147903,0.10040223483580303,0.10238417724189396,0.10238417724189396,False,False,3.853902816772461,3.5763583183288574,3.2406394481658936,3.3135604858398438,3.0585689544677734,2.961790084838867
z,norm_l1,5,47.0,0.22899341523494027,0.2003188465501835,0.16073149444527496,0.13366040211963376,0.0960678765058702,0.12027796947403635,0.12027796947403635,False,False,3.8528332710266113,3.5945262908935547,3.2094671726226807,3.2451000213623047,3.0090439319610596,2.954725980758667
z,norm_l1,6,48.0,0.22899341523494027,0.1997399176059811,0.1670016459127375,0.13214974440265537,0.10991096984511393,0.11496459184667975,0.11496459184667975,False,False,3.8518667221069336,3.567141532897949,3.2633376121520996,3.2046446800231934,3.1489384174346924,2.9022629261016846
z,norm_l1,7,49.0,0.22899341523494027,0.19987048823164041,0.16487334559729416,0.14979933540156137,0.12469287800820456,0.11460719400316297,0.11460719400316297,False,False,3.8528249263763428,3.560236692428589,3.2952260971069336,3.3656222820281982,3.139631986618042,2.4564208984375
z,norm_l1,8,50.0,0.22899341523494027,0.20027446999711018,0.16094616556091587,0.12619213445775154,0.0995811590640778,0.11910182879240747,0.11910182879240747,False,False,3.8532919883728027,3.6235034465789795,3.221250534057617,3.278658866882324,3.0968945026397705,3.0144429206848145
z,norm_l1,9,51.0,0.22899341523494027,0.19961583361726368,0.16516691773812278,0.15586159549774453,0.10358507414321225,0.09859556345316949,0.09859556345316949,False,True,3.85320782661438,3.5578372478485107,3.323225259780884,3.393076181411743,3.0084660053253174,2.861741304397583
