target_pos,target_distance,initial_distance,start_ee_pos,final_ee_pos,absolute_error,relative_error,max_distance_during_trajectory,min_distance_during_trajectory,ik_err_norm,ik_steps,ik_success,joint_displacement,num_trajectory_steps,radius,sample_idx
"[-0.026318030457108788, 0.36758030843260564, 1.0166567111909623]",0.049999999999999996,0.049999999999999996,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.0229753403204723, 0.33980959679069583, 0.9859966436510685]",0.04150211734355877,0.8300423468711755,0.08223352646032482,0.04150211734355877,3.113953310634699e-05,2,True,0.09081195204876177,1751,0.05,53
"[0.013563582663184762, 0.37105977286291913, 0.9487995883195368]",0.049999999999999954,0.049999999999999954,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.013282795188087445, 0.3395842966771778, 0.9199504549935988]",0.04269727083061733,0.8539454166123474,0.056975844809232845,0.04011443850119502,2.9060868175879236e-05,2,True,0.24411980804868658,1751,0.05,54
"[0.000933540237228055, 0.38027241321002836, 0.957223726062058]",0.049999999999999954,0.049999999999999954,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.001614610547376993, 0.34889019826383916, 0.9270588322215637]",0.04353421748584067,0.8706843497168143,0.0651033259851068,0.04292263814421278,3.0573022253429636e-05,2,True,0.24404227572859213,1751,0.05,55
"[0.04562136728556247, 0.3278060409192365, 1.021913635293099]",0.049999999999999954,0.049999999999999954,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.043783360655436046, 0.30126121718110344, 0.9947621488879653]",0.038015906534884895,0.7603181306976986,0.06849221700744511,0.03801209634546624,2.872229928691317e-05,2,True,0.18139195554879542,1751,0.05,56
"[-0.01236098659686877, 0.31975780763259665, 1.0282476563554293]",0.049999999999999996,0.049999999999999996,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.009215773108250945, 0.29393191587793144, 1.001862222746624]",0.037054826400043143,0.7410965280008629,0.06813655907987735,0.037051336272723376,3.54587984816207e-05,2,True,0.2323795758103672,1751,0.05,57
"[0.022912901592710998, 0.3078776464014607, 0.9597586032252611]",0.04999999999999998,0.04999999999999998,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.022222493731842125, 0.2790929859536291, 0.9372605607681564]",0.036540323678273486,0.73080647356547,0.0499688139818972,0.009603014121340264,1.8683566149679845e-05,2,True,0.07717031483529325,1751,0.05,58
"[0.04893518842475557, 0.3134892038913575, 0.9950358215282226]",0.05,0.05,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.04643834376767783, 0.28604539003217844, 0.9702688309061214]",0.03705132894855587,0.7410265789711173,0.04999159944541854,0.034568624310981774,4.483916284377277e-05,2,True,0.15455625516357072,1751,0.05,59
"[0.020798371957392134, 0.316091601762112, 1.0307107273290068]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.02121855457422883, 0.2903396711718197, 1.0044407886275004]",0.03678923975756536,0.7357847951513069,0.06727895199407183,0.03678437486111832,3.287404955489164e-05,2,True,0.24864006378707562,1751,0.05,60
"[-0.002945589441130868, 0.3731218778834364, 0.9521067897894252]",0.04999999999999997,0.04999999999999997,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.001972605816532148, 0.3417469856504641, 0.9229594560974669]",0.042835704979779836,0.8567140995955973,0.05967754886922347,0.04113109567496972,3.139342328506697e-05,2,True,0.23924661231523744,1751,0.05,61
"[0.01685896981582867, 0.3936311930324881, 0.9838123761992831]",0.050000000000000024,0.050000000000000024,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.01655843557735786, 0.36319861347344345, 0.9511729456154877]",0.04462694979808134,0.8925389959616264,0.08008632741278911,0.04462694979808134,8.874213918586604e-06,2,True,0.2058046619181708,1751,0.05,62
"[0.02437284474426618, 0.3131309524877897, 1.0271746556622918]",0.05,0.05,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.024459578478379405, 0.28726759914611766, 1.0012805371474625]",0.036598168567249935,0.7319633713449987,0.06451171667312924,0.036592632479164416,3.5954160280989566e-05,2,True,0.24876705258581872,1751,0.05,63
"[0.059963866270998166, 0.3468228654175014, 0.9921763275944141]",0.05,0.05,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.05659972357565365, 0.31828044681481277, 0.9641149078150362]",0.04016752912241689,0.8033505824483378,0.06444313416613487,0.040166938011950426,1.3880721168575103e-05,2,True,0.1108784311922881,1751,0.05,64
"[-0.026071196128071315, 0.3652545703533626, 0.9633123783837305]",0.04999999999999999,0.04999999999999999,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.02319318766291549, 0.3347646495867758, 0.9346941425022852]",0.04191564893979685,0.8383129787959372,0.06121025883731495,0.04125855839724613,3.638494898879561e-05,2,True,0.18906701355377625,1751,0.05,65
"[0.044523149662181696, 0.376982813309722, 0.9748631144770202]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.04218298244933314, 0.34658752441026575, 0.9442524693561004]",0.043201406974592765,0.864028139491855,0.070370684030275,0.043201406974592765,4.023595058826581e-05,2,True,0.19322459672831369,1751,0.05,66
"[0.05381618175624939, 0.32822066794628235, 0.973421890538733]",0.05000000000000001,0.05000000000000001,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.050671033143233686, 0.29937085817241904, 0.9480580082718402]",0.03854257395964691,0.770851479192938,0.04998298078679266,0.034294659069144896,2.3804164824906613e-05,2,True,0.10799992916683777,1751,0.05,67
"[-0.03535161623229136, 0.3392577926437038, 1.0114034932261753]",0.05000000000000001,0.05000000000000001,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.030897485007958622, 0.31212788213527587, 0.9838138402160914]",0.03894945804983318,0.7789891609966634,0.06981386267302575,0.03894857492199596,1.2335559283741752e-05,2,True,0.1345021507568758,1751,0.05,68
"[-0.0008205258787300218, 0.3571552753026993, 1.0382798056087537]",0.050000000000000114,0.050000000000000114,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.000986135030343658, 0.3307707161418225, 1.0079852350309946]",0.04021405217389822,0.8042810434779626,0.08548674828720941,0.04021282700465363,1.5713500989834318e-05,2,True,0.12524353500214577,1751,0.05,69
"[0.05222417958671383, 0.33449362384041814, 0.9662798269191939]",0.049999999999999996,0.049999999999999996,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.04914252243090052, 0.3051218820734312, 0.9405629131687699]",0.039160636844914616,0.7832127368982924,0.04998065326048024,0.03444827840424622,1.1529476604523906e-05,2,True,0.1214019442799664,1751,0.05,70
"[-0.035834034326875555, 0.34543285204424923, 0.9711894283183344]",0.05,0.05,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.03187147869378995, 0.3160754887960183, 0.9444501011640112]",0.03990674430092996,0.7981348860185992,0.05527738110342636,0.038730460004128955,1.002305387781604e-05,2,True,0.12903614297336433,1751,0.05,71
"[0.005929882596630422, 0.36303859039025926, 0.9447902920721107]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.006228234210259699, 0.331678164165618, 0.9170358733507338]",0.041879268203229646,0.8375853640645926,0.050839584680020124,0.037174753826056325,2.2995197988951974e-05,2,True,0.23302398290954845,1751,0.05,72
"[-0.028589105358920668, 0.31287482290538865, 0.9913694996595437]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.024406679120197616, 0.2855117436277858, 0.9671191264213453]",0.03680097008214136,0.736019401642827,0.049990890601107875,0.033917934849854996,4.489657821187113e-05,2,True,0.15311312225753937,1751,0.05,73
